Operadora,Código do Cliente,Razão Social do Cliente,Código do Associado,Nome do Associado,Tipo de Associado,Sexo,Data de Nascimento,Grupo Tipo de Atendimento,Valor,Data do Atendimento,Competência,CGC do Prestador Local,Nome do Prestador Local,Especialidade - Descrição,Prestador Local Próprio,Cidade do Prestador Local,Estado do Prestador Local,Código do Procedimento,Nome do Procedimento,Código do CID,Qtd Procedimentos,Cód do Grupo de Contrato,Plano - Código,Plano - Descrição,GUIA,Especialidade - Codigo,Classe de procedimento,Grupo Familiar,CPF Titular,Carteirinha Titular,Nome Titular
C,7966,"Thomas, Gill and Cohen",43214,Ashley Escobar,pick,M,1957-01-16,drop,35294.9504279986,2001-06-28,April 2010,27493913,Diaz-Estes,director,Sim,Port Antonio,PA,491,themselves,D03,1,9,577,cell,61518,8498,B,Não,802-18-1549,975200,Brianna Hall
B,4667,Hernandez-Martinez,60983,Joseph Jones,same,M,1977-08-06,organization,12420.783831444958,2003-07-18,December 2022,36726150,"Collins, Moses and Hoffman",stock,Sim,Daisyborough,GU,450,sit,C02,3,9,625,short,28423,3663,C,Não,115-59-9492,950544,Heather Ellis
B,8022,"Harper, Coleman and Reyes",96625,Lauren Nelson,near,F,2003-09-21,give,60927.33029143489,2008-03-30,July 1981,11214790,Burke Ltd,city,Sim,Lake Kennethtown,GA,131,down,B01,5,9,849,they,27188,6969,C,Não,707-79-0786,657480,Oscar Brown
C,6545,"Harmon, Dawson and Gregory",38288,Kevin Bell,research,F,1950-10-24,left,85469.83316085623,2015-05-16,June 1973,70755475,Parker-Cox,soldier,Não,South Keith,RI,539,its,B01,5,9,296,research,50577,9898,A,Sim,055-13-0509,742968,Maureen Taylor
A,4957,Greene-Jones,78803,Erica Jackson,single,M,1972-09-25,reason,74626.02495814055,2018-09-14,April 1978,83823264,"Lozano, Thompson and King",writer,Sim,Marshalltown,WV,748,whose,D03,3,9,410,there,13137,5804,B,Não,172-23-5726,889316,Michael Potter
C,7740,Sanchez Ltd,29661,Shannon Travis,three,F,2004-05-12,hair,90294.14048312027,2001-01-12,February 2000,22522413,Alexander-Flores,support,Não,Benjaminberg,VT,818,international,B01,3,5,422,move,48923,9550,C,Sim,608-96-1280,176935,Charles Moss
D,4659,Davis PLC,53831,Michelle Martinez,former,F,1973-01-01,little,83255.30444897962,2012-06-01,July 1993,81482205,"Gregory, Dunn and Garcia",measure,Não,East Sean,MA,256,already,D03,4,2,653,resource,39758,1261,A,Não,295-75-1957,892062,Audrey Dalton
B,8491,"Morris, Anderson and Taylor",56853,Randy Dyer,but,F,2005-09-23,once,7413.570630528726,2014-05-27,January 1971,79236101,Shelton-Bass,teach,Sim,Cohenland,CT,603,center,C02,2,8,874,keep,96929,1379,B,Não,279-10-6029,736219,Andre Rivera
C,9950,Christian and Sons,41975,Tammy Sandoval,again,M,1999-12-24,table,56914.85062971314,2020-12-16,February 2002,40450465,Pearson-Roberts,her,Sim,Hernandezhaven,IN,462,purpose,A00,3,8,141,treat,25358,7157,B,Não,721-78-6327,688057,Cory Summers
D,8862,"Black, Higgins and Rivers",47067,Antonio Cordova,service,M,1964-07-05,doctor,73072.41404006793,2005-10-04,March 2016,13362617,"Matthews, Frederick and Wilcox",sure,Sim,Flowerston,RI,355,high,C02,3,2,374,significant,70242,5573,A,Não,772-25-1980,141828,Charlotte Townsend
C,3845,"Brown, Miller and Davidson",63590,James Howell,yourself,F,1970-05-10,mind,80683.00425622362,2003-09-27,October 2001,29412115,Gardner LLC,new,Sim,South Sabrina,OK,425,nation,D03,3,7,784,again,81484,1661,C,Não,784-30-1929,973915,Jeremy Sullivan
A,7142,"Hamilton, Chambers and Lawson",29594,William Tucker,value,M,1972-07-09,art,97223.25244374837,2006-01-15,August 2016,65415714,White Group,table,Sim,Lake Nicholemouth,OR,139,than,C02,4,8,766,significant,29574,3943,A,Sim,234-26-5822,250399,Steven Caldwell
B,1986,Chavez-Hall,20154,Douglas Downs,kid,M,1973-12-15,return,98331.20872951768,2022-08-22,January 1983,17427464,Medina-Rodriguez,yourself,Não,Millerport,NM,323,true,B01,5,10,790,day,73339,5410,A,Sim,779-97-8387,933102,Gerald Walton
C,7817,Cox-Skinner,70832,Matthew Kerr,such,F,1981-10-03,across,60109.94732330607,2004-10-06,March 1999,24606749,"Harris, Fisher and Jordan",support,Sim,New Albert,AK,992,bring,B01,3,2,993,many,25437,2252,B,Não,783-54-5418,674095,Kevin Savage
C,9015,Clark-Miller,15134,Taylor Smith,value,F,1991-08-02,name,75031.16386363278,2005-06-13,October 1980,55355498,Mercer LLC,social,Não,Port Lori,WV,788,language,B01,5,3,373,as,95969,3261,A,Sim,697-81-4261,725665,Maria Meyer
D,5641,Simmons-Jones,67655,Abigail Hobbs,we,M,1981-01-21,watch,9453.789549312296,2013-03-18,November 2002,52386557,"Johnson, Allen and Valentine",college,Sim,Lake Frank,IA,603,contain,B01,2,4,697,white,95698,9825,B,Sim,655-73-4338,263920,Amy Morgan
