Operadora,Código do Cliente,Razão Social do Cliente,Nome do Associado,Código do Associado,CPF do Titular,Tipo de Participante,Sexo,Plano - Descrição,Data de Nascimento,Data de Admissão do Empregado,Data de Adesão ao Plano,Data de Cancelamento,Estado Civil do Participante,Município do Participante,UF,Contagem Associado Ativo,Operadora - Numero de Registro,Cliente - Grupo (Link),Cliente - Município,Cliente - UF,Associado - Nome da Mãe,Matricula do Associado,Associado - Bairro,Plano - Código,Plano - Acomodação,CPF Titular,Numero Carteirinha Titular,Nome do Titular,Grupo Familiar,Local Titular
"Rowe, Randall and Graham",2710,Keith-Johnson,Joshua Dixon,74123,370-55-8046,Inativo,M,night,1996-09-10,2018-01-01,2022-06-02,2001-02-13,Casado(a),North Stephenmouth,MP,2,5968,http://www.spencer.com/,Port Matthewshire,LA,Michael Cantrell,52399995,collection,19853,Enfermaria,370-55-8046,91072674,Jessica Davis,Família B,New Travis
Ramirez Inc,6007,Wilson-Martin,Shirley Johnson,89244,471-58-7882,Inativo,M,computer,1943-07-30,2020-11-03,2022-11-14,2018-05-17,Solteiro(a),Williamsonchester,AS,8,2113,https://www.fernandez.biz/,Port Lauramouth,MH,Danny Werner,54639457,raise,83515,Enfermaria,471-58-7882,46392434,Mary Murphy,Família C,Parkville
Walsh-Hall,8452,Sanchez-Cross,Rhonda Love,76531,009-96-5192,Inativo,F,who,1972-08-04,2017-11-12,2014-06-06,2006-08-24,Solteiro(a),West Elizabethton,MO,2,65708,https://www.avery.com/,Deborahport,IA,Christine Whitney,99503645,type,89188,Apartamento,009-96-5192,88054711,Maria Coleman,Família C,Port Benjaminside
Petty Inc,2700,Williams LLC,Brian Coleman,87788,610-84-3341,Ativo,M,focus,1918-01-14,2012-08-13,2015-12-19,2019-09-05,Casado(a),West Kathryn,NV,3,92371,http://robbins-garcia.com/,Blanchardbury,CO,Tiffany White,40328724,rise,24937,Apartamento,610-84-3341,28413696,Jason Williams,Família B,Castilloborough
Watson-Brown,4782,"Scott, Weiss and Hall",Sarah Lewis,92805,570-49-1234,Ativo,F,sit,2012-07-11,2014-10-13,2004-10-27,2000-05-02,Solteiro(a),Port Aliciaville,TX,6,54596,https://jones-davis.net/,South Emma,ND,Alyssa Bryan,37385967,hair,54993,Enfermaria,570-49-1234,12150378,Elizabeth Navarro,Família B,Adammouth
Farmer-Barton,7906,Martin Ltd,Katrina Ibarra,48052,307-41-8179,Inativo,F,admit,1969-08-05,2010-09-20,2000-10-24,2002-08-01,Casado(a),New Christopherview,OK,1,61355,http://www.green.com/,Port Rachelville,IL,Amy Navarro,90759295,many,29613,Apartamento,307-41-8179,76890616,Michael Atkinson,Família A,Port Tammychester
"Monroe, Porter and Durham",4393,Thompson PLC,Derek Smith,68053,102-18-5815,Inativo,M,Mr,2008-05-03,2019-03-13,2018-08-23,2008-06-03,Solteiro(a),Carmenberg,LA,6,66551,http://www.parker-barton.biz/,New Jennifer,AS,Travis Hooper,66825471,for,81288,Enfermaria,102-18-5815,22260012,Joshua Greer,Família B,West Christophermouth
Johnson-Hughes,5897,"Blankenship, Martin and Stevenson",Antonio Cruz,33409,881-53-6335,Ativo,M,head,2006-06-09,2015-02-01,2004-07-12,2006-12-13,Solteiro(a),Hollowayburgh,IN,2,38888,https://www.cain-mckinney.com/,Harrybury,CA,Alexis Woodard,26121273,treatment,60211,Enfermaria,881-53-6335,89688646,Susan Edwards,Família C,Port Moniquechester
Nixon Group,4323,Coleman-Rodriguez,Kyle Romero,95252,467-58-5915,Inativo,F,wish,1983-09-11,2011-07-17,2018-09-15,2020-04-02,Casado(a),Diazhaven,UT,10,69774,https://www.wilson.biz/,Port Jordan,OK,Todd Smith,31803998,their,10571,Apartamento,467-58-5915,53772139,Wendy Alvarez,Família A,Nicolechester
"Anderson, Diaz and Vazquez",2042,"Bryant, Ramirez and Decker",Michael Ellis,93171,830-44-7473,Ativo,F,scientist,1957-05-27,2000-06-30,2002-07-13,2014-02-25,Casado(a),North Jerryland,NC,2,992,https://www.bowers-walker.net/,West Philipburgh,NE,Edward Mcgee,27463700,window,12959,Enfermaria,830-44-7473,9169209,Jorge Gregory,Família C,Matthewport
Norris Ltd,7204,Conley Group,Patricia Perez,13986,113-13-1798,Ativo,M,age,2009-01-25,2012-10-13,2008-04-05,2021-02-27,Casado(a),Jeremyfort,WV,10,35078,https://walter.biz/,New Nicholemouth,SD,Stephen Ramos,65304194,allow,91769,Apartamento,113-13-1798,47122013,Gregory Phillips,Família B,South Cynthiaport
