NOME FUNCIONARIO,CPF,DATA,UNIDADE ATENDIMENTO,NOME PRESCRITOR,CRM,UF CR,TIPO CR,TEMPO,TIPO TEMPO,HORAENTRADA,HORASAIDA,CID,ACEITO,OBSEVAÇAO,ORIGEM,RECEPCAO,ESPECIALIDADE
Sheryl Bradley,769-67-9383,1918-01-29,Burnett-Smith,Emily Bailey,84978,RI,C,1,Horas,09:36:57,05:19:11,B01,Não,"Sort provide pick water big. Particularly before knowledge road ground.
Get result form sound so fire. Camera war time fast. Score machine he may.",Ambulatório,Sim,Ortopedia
Alejandro Castillo,416-49-0564,1976-05-27,Boyd Group,Kristy Faulkner,43132,RI,A,24,Horas,04:22:44,15:56:52,B01,Sim,"Team information investment must. National their miss in open.
Meet several security describe. Candidate science staff a start five couple.",Particular,Não,Pediatria
Ronald Olson,849-80-9358,1941-06-23,Walker LLC,Laura Rogers,21816,TX,A,29,Dias,22:57:00,21:16:32,A00,Sim,"Without political least later image generation. Base industry store agree fast space hour discover.
Industry wonder they hospital article generation their. Six generation defense.
Five professor way.",Particular,Não,Cardiologia
Angela Banks,410-96-9614,1962-04-02,"Hartman, Lee and Weber",Thomas Smith,34071,AL,C,13,Dias,13:04:24,15:10:01,C02,Sim,Strong eye step yard next check him. Decide lawyer present become law executive deal. Sign work tend force test film. Political gas year party just.,Público,Não,Cardiologia
Jason Chapman,841-65-0004,1962-11-20,"Bowman, Johnson and Cooper",Eric Sims,85573,MN,A,14,Horas,17:37:10,02:10:28,A00,Sim,"Exactly where show side see bed method. World system build movement sing. Billion view key let.
Single popular field. Government various produce evening mean production.",Convênio Odonto,Sim,Cardiologia
Karen Padilla,313-97-3003,1969-05-22,"Barber, Hamilton and Arellano",Debbie Payne,23205,TX,A,5,Dias,13:04:26,22:10:08,C02,Não,"Such decade rock.
Sell executive join. Management people Mr stage TV.
Senior tonight hospital improve. Parent factor hotel general hear. Onto information add bit including concern white.",Ambulatório,Não,Cardiologia
Anthony Warren,127-28-2151,2002-11-02,"Sandoval, Hardy and Brown",Jesse Wright,55240,FM,B,12,Dias,00:44:30,00:24:33,A00,Não,Wind machine cause because common no minute. Just where firm cold my collection actually. Suffer watch imagine interest describe will.,Ambulatório,Sim,Pediatria
Jennifer Robinson,648-37-9630,2013-05-11,"Burch, Thompson and Harris",Omar Henry,45952,LA,B,7,Horas,21:51:21,23:45:29,B01,Não,"Try market for.
Range fish difficult music enter. About boy police prove pretty candidate rock win.
Authority consumer offer what across sometimes. Away feeling kid most.",Ambulatório,Não,Cardiologia
Randy Martin,345-94-2446,1987-07-14,Burns PLC,Courtney Parker,35622,MA,C,8,Dias,04:56:39,17:12:57,A00,Sim,Visit want institution social feeling reflect resource. First teach support common home at actually. Response before new dog southern involve citizen modern.,Outros,Sim,Pediatria
Melanie Sims,072-40-8769,1949-09-15,"Raymond, Johnson and Martinez",Emily Henderson,99583,TN,C,7,Horas,21:16:36,01:21:30,B01,Sim,"Task require race evidence board. Test like top whom bit response time already.
Amount production lose main song. Bill of white sometimes control. Expert policy weight significant total local.",Ambulatório,Sim,Pediatria
Daniel Taylor,178-28-7911,2023-02-21,"Hinton, Gonzales and Jones",Cassandra Campbell,48442,VA,A,15,Dias,07:48:32,02:59:12,A00,Sim,"Party economic can since be place sport better. Democratic drop modern a lot and. Rate true total as eat.
Go sense audience treat. Place conference fish speech key respond kind.",Convênio Saúde,Não,Ortopedia
Mr. Brandon Walton,472-59-3645,1991-09-24,Wright Group,Frances Miller,95371,CO,C,3,Horas,04:32:44,16:07:25,C02,Sim,"Real film catch sit of simple. Lay explain year few draw north.
Recently national wonder trial. Director else next early family letter must yes.",Convênio Odonto,Não,Cardiologia
Brianna Underwood,622-59-6395,1957-10-17,Owen-Hart,Travis Buchanan,27710,VT,C,26,Dias,09:40:42,05:05:34,C02,Não,"Apply sell best weight student. Task any be western job feeling. True build speak industry.
Financial young national run per receive trip. Company hard in.",Particular,Sim,Ortopedia
Michelle Brooks,654-87-7120,1988-06-13,Freeman-Wilson,Robert Jackson,85790,SD,C,12,Dias,15:13:38,11:27:02,B01,Não,Lay tax money. Establish can near writer her decade. Country care certain yard road economic. Strong seek those rock listen can small respond.,Ambulatório,Sim,Pediatria
Anne Neal,662-12-5208,1990-10-09,"Smith, Bond and Castillo",Kenneth Burns,10935,NC,C,16,Horas,14:55:14,07:05:11,C02,Sim,"Perhaps since staff sea place. Include here woman eat action policy court.
Story theory company whether. Practice seem alone music go history agency. Develop fear us arm. Mission poor artist.",Outros,Não,Pediatria
Ashley Miller,381-92-6346,1922-12-30,Stein LLC,Savannah Espinoza,17043,MP,B,19,Horas,18:50:30,18:44:04,B01,Não,"Wind possible within woman official still official. Rest me system environmental indicate agree.
Idea yard job. Allow information beat citizen personal morning.",Ambulatório,Não,Ortopedia
Robert Jones,209-20-0162,1962-03-02,Herrera-Patrick,Jasmin Hahn,16415,NV,B,25,Horas,17:53:46,09:10:35,C02,Não,Certainly be our west. Yeah blue population hot company around the.,Ambulatório,Não,Pediatria
Valerie Morales,742-95-6198,1970-12-10,Lawrence and Sons,Thomas Jackson,20460,MT,C,17,Horas,10:34:58,06:00:45,C02,Não,Assume speech lay light sort same same. Customer happy anyone number word. Develop dream agree want eat activity Democrat bad.,Convênio Odonto,Sim,Ortopedia
Kelly Luna,172-68-5831,1973-09-24,"Martin, Neal and Powell",Christina Norton,90221,NE,A,6,Dias,14:39:05,12:15:13,B01,Não,Let reason painting fund thing side. Of cut ability western think dog. Plant will peace create information everybody international. Defense leader material walk cut leg.,Ambulatório,Não,Cardiologia
Andrea Harris,138-87-9029,1995-11-01,Jackson Inc,Mrs. Haley Adams PhD,22456,CT,C,17,Horas,19:24:50,20:13:14,C02,Sim,Describe talk together challenge product cup I. Heavy significant long. Market system sell. Seven cultural agent real sell everybody.,Outros,Sim,Cardiologia
