MOTIVO CHAMADO,NOME,CPF,SEXO,DATA NASCIMENTO,DATA ADMISSAO,NOME DA MAE,ESTADO CIVIL,PARENTESCO,ESTUDANTE,MATRICULA EMPRESA,CNPJ CLIENTE,CARTAO SUS,EMAIL,CEP,ENDERECO,NUMERO,COMPLEMENTO,BAIRRO,CIDADE,ESTADO,SALARIO,RG,CARGO,TELEFONE,CELULAR,DATA INICIO VIGENCIA,CODIGO PLANO,FIM VIGENCIA,PRAZO ESTAGIO/J APRENDIZ (MESES),C.CUSTO,DEPARTAMENTO,SETOR,TIPO EXTENSAO,INICIO PLANO EXTENSAO,FIM PLANO EXTENSAO,INICIO EXPEDIENTE,FIM EXPEDIENTE,PCD,CPF TITULAR,PLANO EXTENSAO,DESCRICAO,DATA ENTRELACE,CNPJ A TRANSFERIR,DEPENDENTE TITULAR,COD. OPERADORA
Consulta Médica,Rachel Kramer,513-73-2758,M,2000-01-17,2003-01-19,Natasha Smith,Solteiro(a),Filho(a),Sim,1271822,3070361296872382,1234567890123456,danielhernandez@example.org,99868,8294 Jessica Summit,761,Apt. 191,Moinhos de Vento,South Angela,AZ,4227.082366684868,1069307038,IT sales professional,5253615138,616-257-6658,2022-04-06,10,2069-02-14,11,CCusto3,Vendas,Setor B,Tipo3,2022-02-11,2027-02-26,06:30:31,21:23:14,Sim,480-76-0905,Plano A,Country campaign forward cultural.,2017-02-16,8106661859652646,Sim,Operadora2
Odontologia,Rebecca Barnes MD,661-24-7886,F,1916-12-12,2003-01-02,Karen Gray,Casado(a),Pai,Não,7870136,9695443264227449,9876543210987654,nicolerogers@example.org,26334,286 Wilkins Isle,255,Suite 352,Centro,West Laura,GA,1496.4335913127939,6478424618,"Librarian, academic",(790)354-6233x84686,688-762-9681x9558,2017-03-23,6,2077-04-09,12,CCusto3,Vendas,Setor A,Tipo2,2015-04-11,2076-05-25,17:35:04,20:11:18,Não,664-74-3502,Plano A,Standard dog program relationship concern.,2009-12-12,2172200530944792,Não,Operadora3
Odontologia,Shelby Dixon,118-72-3656,M,2000-09-26,2000-01-28,Paul Farmer,Viúvo(a),Pai,Não,1929229,9646571093066800,9876543210987654,eburns@example.net,62787,5377 Ann Villages,461,Apt. 332,Savassi,Miguelhaven,DC,1325.4471217499693,4045834845,"Civil engineer, contracting",457-859-0756,505-596-7608x150,2022-12-03,10,2081-03-15,7,CCusto3,Vendas,Setor B,Tipo1,2007-01-26,2079-07-07,17:02:36,00:11:04,Sim,886-53-0035,Plano B,Example imagine item drive carry finally.,2009-11-06,4291161567086794,Não,Operadora3
Exame Laboratorial,Kevin Ayers,831-44-9209,M,2008-01-14,2001-10-02,Monica Ritter,Casado(a),Mãe,Não,5632071,3737910022276340,1234567890123456,tashafitzgerald@example.net,25397,5668 Lauren Junction Apt. 968,073,Apt. 417,Copacabana,Sloanchester,NJ,3081.679199242254,3389313678,Clinical molecular geneticist,+1-576-630-2650x4900,558.667.4951x8908,2009-09-23,9,2049-11-07,5,CCusto3,Vendas,Setor B,Tipo3,2004-04-14,2053-09-18,15:06:32,03:09:56,Sim,873-14-1086,Plano B,Reality total deal student site.,2018-07-16,2416394894394614,Sim,Operadora2
Exame Laboratorial,Stephanie Gray,691-71-8854,F,1918-11-04,2001-01-18,Ann Beasley,Viúvo(a),Filho(a),Não,6086902,6388857892305830,9876543210987654,andreshunter@example.net,91091,2664 Raymond Mount,64415,Apt. 920,Moinhos de Vento,Mcclainville,DE,4784.5133371816955,1262595638,Product/process development scientist,553-368-0821x818,+1-284-862-5105x2396,2000-11-23,7,2057-03-21,10,CCusto1,Financeiro,Setor C,Tipo2,2010-11-18,2067-11-10,01:41:52,20:30:29,Sim,426-90-1896,Plano C,Training record involve in always.,2001-05-21,1283278514097985,Não,Operadora1
Exame Laboratorial,Ernest Caldwell,560-31-3016,F,1914-02-14,2018-01-06,Chad Hernandez,Casado(a),Filho(a),Não,9915737,1793901439364993,1234567890123456,kyliebrown@example.org,14625,24984 Willis Inlet,921,Apt. 303,Copacabana,Loriburgh,MI,2914.9630605492284,6912875207,Product designer,393-916-8775,(668)959-0209x68212,2012-05-18,8,2038-01-06,1,CCusto1,Recursos Humanos,Setor B,Tipo2,2017-06-10,2036-01-24,05:35:11,21:51:52,Sim,376-21-6536,Plano B,Listen listen arrive task less reduce.,2005-07-05,376146407835611,Sim,Operadora3
Consulta Médica,Anita Owens,127-34-2855,M,1987-03-22,2017-07-27,Jennifer Navarro,Casado(a),Pai,Sim,9773155,8820162128996511,9876543210987654,spencerrenee@example.org,83191,228 Perry Ville,36513,Suite 638,Moinhos de Vento,Port Sherri,DE,1663.3763126153735,5532951391,Community development worker,001-430-494-8975x3013,001-399-871-7385x990,2005-11-09,9,2093-12-30,6,CCusto1,Vendas,Setor A,Tipo2,2022-06-28,2039-03-31,04:29:27,17:23:11,Sim,730-47-5256,Plano B,Particular rather hard lay much continue.,2006-03-11,5704522641265789,Sim,Operadora1
Odontologia,Stephen Scott,234-53-1542,F,1965-11-15,2000-10-12,Brittney Martin,Viúvo(a),Filho(a),Não,1605889,1152719925852037,1234567890123456,markthompson@example.com,70221,93609 Sanders Wells Apt. 071,424,Suite 173,Centro,Andersonport,OH,2047.7547381379359,1014554886,Quarry manager,+1-504-947-6969x36641,+1-717-771-1956,2010-03-08,5,2028-05-14,10,CCusto2,Financeiro,Setor C,Tipo1,2011-03-11,2027-10-22,13:31:59,04:54:00,Não,883-40-3953,Plano B,Get later your suffer father member.,2013-01-15,4772230137399710,Não,Operadora2
Exame Laboratorial,Angela Jackson,802-64-9275,M,2006-06-25,2020-06-13,Bradley Ellis,Casado(a),Mãe,Sim,6945708,5064237051683756,1234567890123456,ariana99@example.com,75263,301 Darren Hollow,8428,Apt. 301,Moinhos de Vento,Davidstad,ND,1752.1428205144248,2517800667,Midwife,(930)768-4374,8234285730,2000-12-26,9,2052-07-08,9,CCusto1,Vendas,Setor A,Tipo3,2009-01-02,2069-06-10,20:26:14,04:33:41,Sim,753-11-0499,Plano B,Since interesting particular.,2008-10-19,1837482442438097,Não,Operadora3
Exame Laboratorial,Heather Hardy,509-78-4604,M,1974-06-12,2020-08-24,Rebecca Thompson,Solteiro(a),Pai,Não,3151846,8758372075510938,1234567890123456,abrown@example.org,97848,231 Scott Dale,34977,Apt. 918,Centro,North William,PR,2374.0220162856294,7796490574,Primary school teacher,+1-457-916-7519x514,625-631-5649,2012-10-21,8,2063-11-24,1,CCusto3,Financeiro,Setor B,Tipo2,2008-01-20,2035-01-25,18:09:04,14:56:30,Sim,236-26-1504,Plano C,Performance poor create father garden two above.,2020-07-13,4929295876340695,Não,Operadora2
Odontologia,Amber Faulkner,344-84-6118,F,2022-06-22,2000-03-27,Caitlin Sherman,Casado(a),Cônjuge,Não,7924302,8271307591239732,9876543210987654,nicolemccoy@example.com,98982,09771 Nichols Lodge,117,Apt. 679,Centro,West Jaclynfort,WY,2489.5832659974753,7777395472,Exercise physiologist,(332)328-4113x06907,614-244-6480x903,2005-02-02,7,2093-11-15,3,CCusto3,Recursos Humanos,Setor B,Tipo3,2008-08-18,2062-12-08,06:00:02,04:44:14,Sim,359-80-4938,Plano B,Defense himself process ground.,2011-08-06,1629096650416322,Não,Operadora2
Exame Laboratorial,Whitney Farley,483-36-2115,F,1997-09-11,2003-10-09,Holly Lewis,Solteiro(a),Pai,Sim,4584418,4280288150055736,9876543210987654,robinsonpaul@example.com,37649,7249 John Greens Suite 308,344,Apt. 880,Moinhos de Vento,Thomasport,AK,1925.3705246096783,440782757,Environmental manager,(983)675-8213x28205,+1-341-487-6718x8694,2003-12-14,1,2047-09-06,1,CCusto3,Recursos Humanos,Setor B,Tipo2,2011-04-23,2077-04-18,19:17:11,11:34:06,Sim,611-46-4461,Plano B,Suggest effect media about happen respond late.,2004-03-19,8140982460631002,Sim,Operadora1
Consulta Médica,Lisa Wilkins,186-59-8768,M,1985-09-24,2015-10-26,Christopher Johnson,Solteiro(a),Filho(a),Não,2198338,1814889664525768,1234567890123456,kathryn02@example.com,94257,3483 Kyle Center Apt. 413,9757,Apt. 656,Savassi,Hickschester,SD,4445.147517967205,9882803124,Arts administrator,876-436-5350x16223,(388)309-1600x70397,2017-06-03,4,2029-06-15,1,CCusto1,Financeiro,Setor A,Tipo1,2001-04-27,2041-12-31,01:32:16,23:48:59,Não,755-12-1020,Plano C,Or individual until deal something activity.,2021-11-30,1018732620566124,Não,Operadora3
