Operadora,Código do Cliente,Razão Social do Cliente,Código do Associado,Nome do Associado,Tipo de Associado,Sexo,Data de Nascimento,Grupo Tipo de Atendimento,Valor,Data do Atendimento,Competência,CGC do Prestador Local,Nome do Prestador Local,Especialidade - Descrição,Prestador Local Próprio,Cidade do Prestador Local,Estado do Prestador Local,Código do Procedimento,Nome do Procedimento,Código do CID,Qtd Procedimentos,Cód do Grupo de Contrato,Plano - Código,Plano - Descrição,GUIA,Especialidade - Codigo,Classe de procedimento,Grupo Familiar,CPF Titular,Carteirinha Titular,Nome Titular
C,8660,Barrett Ltd,44062,Marcus Kline,entire,M,1966-12-13,environmental,90611.92703799767,2016-10-21,August 2013,88597188,Smith-Gutierrez,talk,Não,Amberburgh,VI,550,computer,C02,2,2,267,including,48405,1273,A,Sim,398-46-0385,374496,Jeffrey Griffin
B,5928,Ross Ltd,27900,Jonathan Ellis,consumer,F,1948-02-03,situation,84263.0304587601,2005-12-04,July 1990,55553830,Burke Group,never,Não,South Leslietown,ND,222,shoulder,A00,4,10,196,team,97611,4406,A,Não,255-26-3875,952562,Peter Hardy
C,5880,"Compton, Bradley and Evans",46667,Nicole Smith,seek,M,1952-02-01,north,6984.747287730705,2015-12-22,October 2021,76149405,Johnson-Harris,music,Sim,Josephmouth,MH,484,character,B01,4,8,775,expect,36637,9553,C,Não,462-69-0073,226243,Alexander Smith
D,7962,Sanders-Reid,62891,Brittney Vasquez,first,F,1952-03-15,nor,65551.9429735071,2013-11-11,December 2005,88704743,Good-Medina,usually,Não,Millerport,SC,190,time,A00,5,10,201,process,40948,4642,B,Não,271-74-3960,431296,Catherine Swanson
D,2722,Ramirez-Keller,38253,Sara Cabrera,well,M,1949-06-22,all,31888.305264975985,2003-01-19,October 2004,12163863,Gonzales-Yoder,report,Sim,Carterborough,MS,317,look,B01,4,8,117,over,98679,5120,A,Sim,530-09-2329,294557,James Morris
D,2667,"Perkins, Marquez and Martinez",40476,Carmen Lara,upon,M,1960-02-22,significant,65133.620238983625,2007-11-07,October 1972,24161811,"Schaefer, Sanchez and Evans",require,Não,Port Holly,NC,214,debate,B01,2,4,963,themselves,24540,8846,C,Sim,086-78-9338,367411,Nicholas Hess
A,2320,Curtis-Adams,53851,Dr. Kristie Frost,however,M,1984-01-07,whose,31804.39248380158,2011-03-07,July 1979,96593563,"Mckee, Riddle and Morales",win,Não,Jimmyberg,NV,740,research,A00,3,5,441,democratic,63177,3045,B,Não,777-97-9313,420502,Robert Lyons
D,4552,Wright Inc,97422,Susan Bell,example,F,1957-09-18,around,78500.39030274205,2013-06-25,December 2003,36481727,Smith-Anderson,choose,Sim,Debraport,MT,924,movie,D03,2,6,265,current,25496,6521,C,Não,010-21-9874,781668,Micheal Owens
A,5087,"Reyes, Maxwell and Harrison",49812,Ashley Moore,suddenly,F,1978-10-07,medical,67387.91731052435,2015-12-07,December 2020,95932155,Moore-Fisher,increase,Não,Burnsmouth,DE,628,five,C02,3,5,801,ten,71839,8311,A,Não,728-80-5794,303392,Frederick Little
D,7725,Edwards Ltd,10890,Victor Rodriguez,understand,F,1995-01-29,tell,96539.26826885184,2022-09-06,January 1999,26239579,Bridges Inc,money,Sim,South Edward,VI,399,foreign,A00,1,4,687,case,19803,2920,C,Não,464-43-6983,494372,Sharon Bauer
