Operadora,Código do Cliente,Razão Social do Cliente,Nome do Associado,Código do Associado,CPF do Titular,Tipo de Participante,Sexo,Plano - Descrição,Data de Nascimento,Data de Admissão do Empregado,Data de Adesão ao Plano,Data de Cancelamento,Estado Civil do Participante,Município do Participante,UF,Contagem Associado Ativo,Operadora - Numero de Registro,Cliente - Grupo (Link),Cliente - Município,Cliente - UF,Associado - Nome da Mãe,Matricula do Associado,Associado - Bairro,Plano - Código,Plano - Acomodação,CPF Titular,Numero Carteirinha Titular,Nome do Titular,Grupo Familiar,Local Titular
"Hernandez, Wallace and Willis",1926,Lee-Gonzalez,Caitlin Martin,33861,191-40-7963,Ativo,F,we,2003-07-15,2017-06-24,2014-06-09,2016-04-24,Casado(a),Nancyhaven,MO,10,71491,https://www.bell.com/,North Patricia,IL,Curtis Jimenez,22733388,you,8433,Apartamento,191-40-7963,39437283,Richard Murray,Família C,Thompsonchester
"Walker, Morris and Blake",3327,Brown Group,Zachary Keller,91035,478-96-4840,Inativo,F,adult,1955-06-21,2011-04-21,2016-06-01,2000-02-25,Casado(a),Port Kevin,WI,5,48870,https://www.price.com/,Jordanmouth,IN,James Clark,66697560,travel,76387,Apartamento,478-96-4840,62064676,Brian Davis,Família C,Lake Michaeltown
Thornton-Pearson,1767,Williams-Fernandez,Chase Nguyen,40107,146-45-8958,Inativo,F,after,1960-10-31,2000-05-16,2003-09-07,2007-03-13,Solteiro(a),Jeremiahview,CO,8,1808,https://www.greer.biz/,West Aaron,PR,Krista Drake,24439879,perform,66909,Apartamento,146-45-8958,39152158,Eric Martinez,Família C,Anthonyland
"Copeland, Lowery and Griffin",6581,"Allen, Marks and Edwards",Ryan Hill,69040,777-05-5932,Inativo,F,develop,1945-11-10,2020-10-17,2001-06-05,2011-09-17,Solteiro(a),Carrilloton,AK,10,14782,https://www.oliver-cooper.info/,Tommyburgh,FL,Regina Bradley,21185930,end,76425,Apartamento,777-05-5932,71639490,Lisa Hughes,Família A,Harveyview
Andersen-Anderson,8169,Preston-Dudley,Aaron Henson,95977,203-54-8774,Inativo,F,kid,1910-10-21,2023-02-27,2009-08-07,2000-04-15,Casado(a),Hernandezton,NC,3,40061,http://gibson.biz/,East Cynthia,TX,Thomas Bailey,34460966,grow,64976,Apartamento,203-54-8774,22146946,Wesley Miranda,Família C,East Noahmouth
Sparks Inc,8038,"Gutierrez, Hill and Harris",Mary Wright DDS,40411,622-63-5675,Inativo,M,television,1908-08-10,2020-08-30,2000-09-01,2023-09-04,Viúvo(a),Powellshire,VA,3,66141,https://www.robinson-lawson.com/,West Anthonymouth,LA,Cindy Wright,87665512,nation,27209,Apartamento,622-63-5675,17326295,Sarah Drake,Família B,Chavezville
"Huynh, Davis and Murphy",2641,"Jones, Meza and Edwards",Travis Scott,46587,867-72-0930,Inativo,F,hard,1986-08-26,2004-06-17,2006-04-05,2021-03-05,Casado(a),West Brandon,PR,7,43701,http://www.payne.com/,Gibsonborough,AK,Melissa Mata,51095171,treat,80494,Apartamento,867-72-0930,1434356,Henry Braun,Família A,West Mark
"White, Mosley and Martinez",7671,Rhodes and Sons,Willie Smith,44746,337-24-0880,Inativo,F,door,1913-07-02,2004-10-20,2000-05-29,2005-05-20,Solteiro(a),West Nathan,NE,4,55138,https://www.tucker.com/,Scottville,WY,Chris Moore,46918253,recently,34381,Apartamento,337-24-0880,94366344,Matthew Jones,Família A,Hernandezfurt
Powell and Sons,7909,King Group,Paul Owens,15117,708-97-0766,Inativo,M,church,2013-03-25,2016-10-27,2014-11-12,2015-03-03,Viúvo(a),West Laura,PA,10,96012,http://coleman.com/,West Robert,TX,Jessica Peck,97965797,against,55712,Enfermaria,708-97-0766,38601481,Andrew Carney,Família C,North Elizabeth
Spencer-Berry,7295,Reynolds-Lewis,Sean Smith,21390,007-26-0510,Ativo,F,create,1926-10-26,2014-12-26,2011-02-11,2001-03-01,Casado(a),Jessicaburgh,SD,10,43044,http://hernandez-mitchell.biz/,Greenchester,LA,Judy Mack,99371234,everything,73515,Enfermaria,007-26-0510,67481492,Tony Silva,Família C,Calderonville
"Williams, Bowman and Nelson",7720,Ruiz LLC,Brian Tucker,79297,701-73-4353,Ativo,M,myself,1949-02-19,2020-05-06,2006-03-16,2009-12-07,Casado(a),Michaeltown,WA,9,82706,http://bartlett-marshall.com/,Port Ryan,CO,Veronica Shaw,43686961,without,86901,Enfermaria,701-73-4353,80630923,Andrea Robinson,Família B,West Brittany
"Aguirre, Preston and Fernandez",9980,Watson Group,Jeremy Watson,55685,760-48-9114,Inativo,M,just,1931-02-02,2020-03-11,2010-02-01,2010-02-15,Viúvo(a),Kinghaven,NV,7,50330,https://carter.biz/,New Randall,NV,Deborah Adkins,32221875,scene,19580,Apartamento,760-48-9114,12549503,Richard Evans,Família B,Phillipstad
Ayala LLC,8512,Jones and Sons,Stephanie Rodgers,66144,074-14-6785,Ativo,M,hard,2020-02-26,2003-06-28,2001-09-13,2018-03-18,Viúvo(a),New James,MS,8,42351,http://wilson.biz/,Lake Michaelbury,WY,Erin Shepard,19291360,born,42248,Enfermaria,074-14-6785,63786752,Denise Stewart,Família B,Andrewside
Johnson LLC,6733,"Martinez, Rose and Vega",Jesse Reid,61054,535-37-0295,Inativo,F,vote,1977-05-23,2007-08-16,2017-08-04,2003-05-03,Casado(a),West Ritafort,PR,3,71103,https://collins.biz/,Carriemouth,NH,Lori Bates,71861330,behind,28339,Enfermaria,535-37-0295,98119946,Theresa Graves,Família B,Mckinneymouth
Hernandez-Grant,2661,Wright-Lewis,Brenda Hopkins,71741,540-43-6536,Ativo,M,mean,1982-09-15,2010-01-06,2003-03-26,2007-03-18,Solteiro(a),East Jack,MT,4,52263,http://smith-salinas.com/,New Michelle,ND,Joann Perry,36992963,beautiful,73269,Apartamento,540-43-6536,73219135,Brandon Scott,Família B,Fitzgeraldhaven
"Anderson, Alexander and Lewis",3942,"Terrell, Wilson and Vasquez",Brandon Carter,45957,439-02-1844,Inativo,F,south,1908-11-10,2003-05-24,2002-03-31,2000-07-24,Casado(a),North Jamesburgh,PW,4,74901,https://brown-morrison.com/,Port Angelaport,CT,William Golden,82116330,mention,89035,Enfermaria,439-02-1844,71515490,Amanda Smith,Família A,Joshualand
Weaver and Sons,4834,King-Dean,Steven Black,49009,703-87-6376,Inativo,F,story,1909-05-19,2002-07-08,2013-01-02,2001-10-20,Viúvo(a),Mullinsbury,NH,2,48943,http://www.austin.com/,Davisport,UT,Veronica Walker,73377019,usually,70271,Enfermaria,703-87-6376,92649807,Karen Wilkinson,Família A,Murphytown
Stevenson-Butler,2241,Cortez Group,Laura Brown,77085,239-98-6883,Ativo,F,give,1929-03-08,2003-04-16,2003-09-10,2008-08-26,Viúvo(a),Johnsonfort,NM,2,6290,https://mejia.net/,West Robertfurt,NE,Laura Estrada,34834967,guess,28569,Apartamento,239-98-6883,58390590,Patricia Barajas,Família A,Lake Anthonyview
Sampson-Morse,3101,Sanders PLC,David Rodriguez,22248,767-98-7654,Inativo,F,her,1919-05-09,2022-05-18,2011-08-13,2005-01-09,Solteiro(a),New Cherylburgh,MT,7,58211,http://www.sharp.com/,New Andreview,AZ,Elijah Anderson,69198905,ready,29290,Apartamento,767-98-7654,41425154,Justin Nguyen,Família C,Kramerside
"White, Hernandez and Jones",3765,Jackson and Sons,Regina Schmitt,71666,557-82-7717,Inativo,F,never,1944-05-20,2002-08-24,2015-09-16,2021-04-02,Casado(a),Georgeberg,GU,6,88889,http://www.smith.biz/,New William,AL,David Moreno,73815720,analysis,50361,Apartamento,557-82-7717,93918251,Austin Gutierrez,Família A,Morganton
Jones-Johnson,2032,Hanson-Gomez,David Owens,72716,767-13-4845,Ativo,F,that,1955-04-19,2004-05-29,2010-02-22,2002-12-19,Casado(a),Piercefurt,ND,5,59647,http://www.koch.com/,Lake Adam,VT,Chris Rodriguez,58982512,claim,97709,Enfermaria,767-13-4845,72827876,Megan Cooper,Família A,South Eduardo
Welch-Mills,4509,Turner-Blackburn,Philip Morris,31111,231-39-9746,Inativo,M,half,1974-08-10,2022-10-05,2022-07-05,2004-04-22,Viúvo(a),Port Annetteside,MO,6,65408,https://www.powell-wang.biz/,North Julie,ME,Deborah Castro,11415683,work,60550,Apartamento,231-39-9746,18257360,Maria Palmer,Família C,Joshuamouth
Avila-Parker,5162,Atkinson PLC,William Bush,24952,077-08-8481,Ativo,M,decision,1975-08-30,2018-12-02,2015-06-24,2007-02-24,Solteiro(a),Sarahland,AR,2,1957,http://robbins.com/,Lake Davidview,NE,Elizabeth Bass,30972926,pay,16117,Enfermaria,077-08-8481,35370576,Dylan Walker,Família B,South Alicia
Shaw-Simmons,8929,Todd-Carlson,Charlotte Odom,99011,773-28-7849,Ativo,M,suddenly,1981-05-29,2003-04-23,2006-06-04,2001-11-30,Casado(a),Port Annette,AL,4,60315,http://thompson.net/,West Michaelhaven,AL,Joshua Cantrell,71287506,begin,96593,Apartamento,773-28-7849,39162162,Michael Williams,Família B,North Sabrinachester
"Mitchell, Austin and Jackson",6491,Thornton Group,Roger Woods,50188,030-81-6202,Ativo,F,might,1936-06-19,2023-02-10,2007-09-22,2016-03-12,Solteiro(a),Youngstad,AS,8,42877,https://hicks-bell.org/,North Drewside,MP,Regina Baker,9469327,theory,97430,Apartamento,030-81-6202,73207649,Rickey Gray,Família C,North Johntown
Burton Inc,2474,Summers-Osborn,Cynthia Taylor,82710,431-86-4935,Ativo,F,accept,1930-04-26,2022-06-23,2012-12-20,2002-06-27,Solteiro(a),Laurieborough,IN,9,11743,http://www.cooper-wells.com/,Lake Donnaton,ND,Stephanie Marsh,49023911,old,72352,Apartamento,431-86-4935,12729791,Sarah Wright,Família A,Lake Brent
English-Harris,9833,Medina-Benson,Leslie Gould,73936,437-50-5188,Inativo,M,responsibility,2004-09-08,2006-10-11,2015-01-28,2009-08-31,Viúvo(a),Katherinetown,IA,6,7748,http://brooks-anderson.com/,Vincentville,WI,Justin Cervantes,41368344,bed,873,Enfermaria,437-50-5188,15868967,Maria Wilson,Família C,Reynoldsborough
"Holmes, Robles and Pacheco",1460,Warren LLC,Katrina Pacheco,47484,805-84-4081,Inativo,M,must,1981-12-08,2011-03-12,2007-05-30,2005-06-12,Casado(a),Hillport,CA,1,80056,http://graham.info/,Brandonmouth,AL,Robert Sharp,40599953,fast,33034,Enfermaria,805-84-4081,50538996,Amy Gordon,Família C,Sergiohaven
Jones PLC,3634,"Anderson, Smith and Watts",James Mayer,38930,289-71-6160,Inativo,F,fill,1949-05-07,2011-02-06,2019-07-27,2023-07-29,Viúvo(a),Lake Sara,DC,10,88686,https://johns.com/,Mclaughlinside,NY,Angie Hebert,61133447,section,76271,Enfermaria,289-71-6160,78456787,Anna Moran,Família B,East Crystalfurt
Lewis LLC,7854,Perez-Stafford,Ashley Elliott,85010,851-90-9222,Inativo,M,writer,1911-11-23,2009-04-11,2019-01-21,2023-01-26,Solteiro(a),Robertsonhaven,CA,3,16014,http://thompson.net/,Matthewfort,MP,Daniel Kelly,83364995,table,42462,Apartamento,851-90-9222,25401117,Kenneth Morris,Família B,North Travismouth
Hayes LLC,8873,Weaver-Maldonado,Christopher Beasley DDS,56718,292-30-8887,Ativo,F,across,2004-05-04,2020-12-21,2020-12-02,2009-08-31,Viúvo(a),North Jessica,MI,4,73292,https://chavez.com/,East Charles,KY,Richard Hayes,90848890,series,98764,Enfermaria,292-30-8887,32030662,Jennifer Hood,Família A,East Williamville
"Gomez, Griffin and Sellers",5977,Hamilton and Sons,David Jones,14021,643-12-4068,Inativo,F,project,2008-04-28,2016-11-09,2001-06-16,2002-03-22,Casado(a),Alexanderborough,GA,5,210,https://watkins.com/,West Jenniferborough,WV,Patrick Hoffman,25480717,much,96230,Enfermaria,643-12-4068,12593867,Heather Perry,Família C,Gonzalezport
"Bates, Perez and King",5157,"Ross, Murray and Wolf",David Anderson,97892,075-96-2937,Inativo,M,contain,1971-02-28,2013-02-20,2012-09-30,2002-07-09,Casado(a),Williamville,NH,8,40576,http://stevens-saunders.com/,New Kevin,VT,Danielle Todd,21008461,evening,7035,Apartamento,075-96-2937,48480486,Briana Brown,Família C,Andreahaven
Turner LLC,5855,Thompson-Swanson,Jordan Ellis,81480,147-71-6101,Inativo,M,story,2008-11-02,2004-08-17,2015-08-31,2009-08-25,Viúvo(a),New David,ID,8,42255,http://www.green-hickman.org/,Huangfort,MN,Travis Daniel,47915570,yes,27442,Enfermaria,147-71-6101,19673813,Aaron Gonzalez,Família B,Longfort
"Wolfe, Mccarty and Schneider",8089,Santos and Sons,Mr. Christopher Ray,88706,680-41-5701,Inativo,M,growth,1994-06-08,2007-11-01,2019-08-12,2015-07-02,Viúvo(a),North Kennethview,CA,10,99808,http://webb.com/,Johnstad,ID,Andrea Williams,88726211,room,49902,Apartamento,680-41-5701,62224008,Jacqueline Young,Família C,Port Justin
"Garcia, Bauer and Hernandez",6523,Stewart and Sons,George Nixon,93930,795-66-8214,Inativo,M,control,1991-06-25,2022-05-09,2005-05-02,2023-07-04,Solteiro(a),North Madisontown,MD,2,132,http://gutierrez-hinton.com/,Michaelland,ME,Tracy Roy,50717724,happy,7184,Enfermaria,795-66-8214,76117202,Cory Novak,Família A,Wheelerside
"Wolf, Ward and Hansen",6861,Richards Ltd,David Welch,34983,760-26-0350,Inativo,M,writer,1998-04-19,2004-02-03,2021-11-19,2021-12-29,Solteiro(a),Barrerafort,NE,6,93222,https://garcia.com/,Washingtonburgh,AS,Michael Davis,82587318,create,16404,Apartamento,760-26-0350,6297731,Sherry Murphy,Família A,Lozanoland
Cox-Roth,6724,Steele-Mendoza,Anthony Williams,27683,119-84-6398,Inativo,F,subject,1983-01-21,2000-03-19,2022-09-01,2023-02-17,Solteiro(a),East Richard,IN,5,85644,https://www.graham.com/,Tinastad,RI,Sean Harvey,14414302,important,69592,Apartamento,119-84-6398,20052685,Chad Wallace,Família A,Port Jeremy
Marquez Group,1044,"Castro, Garcia and Walker",Michelle Hayden MD,19420,749-36-8626,Inativo,M,economy,1947-10-18,2005-09-13,2003-06-03,2018-11-21,Casado(a),Mendozaburgh,WA,6,81912,http://combs.biz/,Port Crystalport,NY,Tara Carey,40362727,give,46706,Apartamento,749-36-8626,50457753,Kimberly Martinez,Família B,West Melindaport
