NOME FUNCIONARIO,CPF,DATA,UNIDADE ATENDIMENTO,NOME PRESCRITOR,CRM,UF CR,TIPO CR,TEMPO,TIPO TEMPO,HORAENTRADA,HORASAIDA,CID,ACEITO,OBSEVAÇAO,ORIGEM,RECEPCAO,ESPECIALIDADE
Peter Crawford,481-63-7864,1934-08-15,Frazier-Foley,Vanessa Jordan,68176,CA,B,26,Anos,22:23:34,22:01:41,B01,Sim,"End ground name television father look people. After will total finally enjoy offer describe concern.
Fight unit popular yet marriage. Job theory nor whatever after.",Hospital,Recepção B,Ortopedia
Bryan Ellis,551-53-8961,1961-03-01,Mitchell-Hernandez,James Reyes,54009,HI,B,19,Meses,01:21:02,13:00:54,C02,Não,"Individual in team person bar try whole stock. Service southern friend water. Level rate loss material.
Your half instead best middle. Food hand company page. Catch military first happen.",Hospital,Recepção A,Cardiologia
Collin Delgado,395-29-3612,1947-03-25,Stewart Inc,Diane Kline,14542,KY,C,16,Dias,13:12:40,22:45:45,C02,Não,"Maintain citizen bank once month. Expect score Mr own ten catch effort. Style write record if movie long.
Various edge weight hit say. Wide letter quality these after police. Close north politics.",Hospital,Recepção C,Pediatria
Rebecca Estrada,041-08-9118,1952-12-19,Mcintyre PLC,Dawn Lee,38798,NM,A,10,Meses,17:30:29,09:33:16,C02,Sim,"Method forget think money rock. Possible must image education.
Through everyone white run determine. Consumer expect series body treatment. Hold base already.",Pronto-Socorro,Recepção A,Pediatria
Rachel Cobb,891-37-4315,1914-12-11,Greer LLC,Abigail Calhoun,94780,AK,A,23,Dias,07:43:25,14:37:22,A00,Sim,Exactly mind bit yeah wear level expect realize. Area onto American assume anyone. War believe seem gun computer wish.,Pronto-Socorro,Recepção C,Ortopedia
John Ford,314-43-9965,1931-03-15,Mitchell-Hernandez,Joseph Ruiz,20951,PA,A,2,Dias,03:40:02,19:35:12,B01,Não,"Leave base onto enter want rather outside. Difficult media beat. Bank easy ahead arm media son garden. Culture report growth good.
Knowledge deal age company buy. One woman fire land.",Clínica,Recepção B,Pediatria
Gina Alexander,783-77-2376,1982-11-30,"Nichols, Nelson and Bond",Debra Garner,13335,MT,A,29,Meses,10:25:44,01:43:03,A00,Não,She million prove up dinner. Hope future cold others opportunity score onto city. Our third reduce society cultural sing community.,Pronto-Socorro,Recepção A,Cardiologia
Erik Buckley,469-05-9934,1984-09-28,"Garcia, Oconnor and Hudson",April Weber,46064,ND,B,26,Anos,18:10:41,11:05:13,B01,Sim,Take home clearly social painting Congress. Sense peace whatever training bar idea run old.,Hospital,Recepção B,Pediatria
Joseph Underwood,569-09-1252,1968-12-01,Moore Ltd,Samantha Rogers,89497,PW,A,5,Dias,01:20:35,14:06:11,A00,Não,"War happen move kitchen. Hit several kitchen do say cause.
College herself road knowledge range. Music political able hope.",Pronto-Socorro,Recepção B,Ortopedia
Anthony Hunt,159-50-8825,2007-01-26,"Hart, Phillips and Brooks",Jeremy Allen,94655,OK,B,6,Meses,09:49:20,03:26:17,B01,Sim,Only test soon capital. Environment role protect call.,Clínica,Recepção C,Cardiologia
Teresa Johnson,181-44-1899,1926-12-13,Fuller Inc,Richard Padilla,73258,NC,C,13,Anos,15:43:18,09:45:37,A00,Não,"Something get address. Itself suddenly in cold mouth bed.
Bar real might central million heart exactly. No myself news benefit it.
Building source pressure modern style.",Hospital,Recepção C,Cardiologia
