MOTIVO CHAMADO,NOME,CPF,SEXO,DATA NASCIMENTO,DATA ADMISSAO,NOME DA MAE,ESTADO CIVIL,PARENTESCO,ESTUDANTE,MATRICULA EMPRESA,CNPJ CLIENTE,CARTAO SUS,EMAIL,CEP,ENDERECO,NUMERO,COMPLEMENTO,BAIRRO,CIDADE,ESTADO,SALARIO,RG,CARGO,TELEFONE,CELULAR,DATA INICIO VIGENCIA,CODIGO PLANO,FIM VIGENCIA,PRAZO ESTAGIO/J APRENDIZ (MESES),C.CUSTO,DEPARTAMENTO,SETOR,TIPO EXTENSAO,INICIO PLANO EXTENSAO,FIM PLANO EXTENSAO,INICIO EXPEDIENTE,FIM EXPEDIENTE,PCD,CPF TITULAR,PLANO EXTENSAO,DESCRICAO,DATA ENTRELACE,CNPJ A TRANSFERIR,DEPENDENTE TITULAR,COD. OPERADORA
Exame Laboratorial,Cynthia Thornton,263-13-9781,M,1936-04-18,2010-04-29,Gina Melton,Viúvo(a),Mãe,Não,3336637,9206673259235745,9876543210987654,hoffmanjoshua@example.com,19239,93553 Sarah Plains,5397,Suite 410,Copacabana,North Michael,NE,1238.4051132044563,5793087009,Consulting civil engineer,642.881.2724x8105,306-960-6945,2013-05-05,8,2077-01-23,11,CCusto2,Recursos Humanos,Setor B,Tipo3,2015-04-12,2093-09-29,16:16:01,18:26:20,Não,207-34-4595,Plano B,Price around bag at type special husband beat.,2003-04-05,1440833046782884,Não,Operadora2
Odontologia,Joel Reed,286-02-5302,F,2004-05-10,2011-11-07,Patricia Johnson,Solteiro(a),Filho(a),Sim,3080075,7748620320296907,1234567890123456,raven04@example.net,59583,1790 Jennifer Camp,4198,Suite 417,Savassi,Harrisburgh,OR,1868.3234341321588,9692308790,TEFL teacher,343.307.7886x578,324-232-6525x41747,2013-08-17,5,2074-05-18,2,CCusto3,Financeiro,Setor B,Tipo2,2021-04-18,2041-03-05,18:39:38,12:40:00,Sim,628-46-2681,Plano B,Move affect movement process.,2009-07-13,348912269490904,Sim,Operadora1
Consulta Médica,Elizabeth Gonzalez,538-87-4067,F,1939-12-19,2023-03-01,James Woodard,Viúvo(a),Cônjuge,Não,9888967,7186686783099881,9876543210987654,ocunningham@example.org,27199,8653 Rodriguez Ridge Apt. 202,729,Apt. 469,Copacabana,Wigginsmouth,WY,3037.9204404200564,5965858752,"Surveyor, quantity",(227)750-2311x586,216.886.0982,2018-01-04,8,2053-05-07,5,CCusto2,Financeiro,Setor B,Tipo3,2001-01-19,2074-04-05,17:08:44,18:55:56,Sim,543-60-3115,Plano A,General because activity certainly whether.,2003-04-11,7129786144544924,Não,Operadora1
Exame Laboratorial,Christopher Holt,751-38-5625,F,1923-08-11,2021-10-17,Matthew Johnson,Solteiro(a),Pai,Sim,1157749,1652351309937039,9876543210987654,daniel75@example.net,26449,26242 Zachary Island,840,Suite 436,Centro,Nicholasside,ND,1889.016728603125,3955395622,Lexicographer,(840)798-9600x885,6968924157,2018-02-12,5,2032-03-24,9,CCusto2,Vendas,Setor A,Tipo2,2013-08-11,2049-02-03,20:06:51,05:43:28,Sim,046-91-9378,Plano B,Care despite your young.,2017-05-18,6854018602651348,Não,Operadora1
Exame Laboratorial,Tammy Spears,339-87-4387,M,2013-01-16,2020-03-10,William Fernandez,Solteiro(a),Mãe,Não,1090826,1561977448076909,9876543210987654,slynch@example.net,97288,229 Michael Expressway,83282,Apt. 873,Savassi,East Christina,MN,1625.435134455275,7959960322,"Therapist, occupational",001-753-575-4684,001-839-637-9503x15604,2000-08-18,7,2079-12-01,12,CCusto2,Vendas,Setor B,Tipo1,2009-02-23,2079-10-10,17:55:19,14:54:38,Não,169-20-9356,Plano C,Pull more PM knowledge night.,2020-11-27,8280755861720304,Não,Operadora3
Consulta Médica,Ryan Sanchez,337-56-0182,M,2012-05-11,2022-12-21,Courtney Love,Casado(a),Mãe,Sim,7518306,9137811844944186,9876543210987654,williamsrebecca@example.org,83005,06295 Sandra Park Suite 953,076,Suite 114,Moinhos de Vento,Josephfort,OH,1984.6385383256493,9301446911,Nature conservation officer,(601)228-8851x660,001-484-499-7550,2007-07-15,4,2052-12-17,7,CCusto1,Recursos Humanos,Setor A,Tipo1,2017-01-19,2032-11-25,13:10:00,19:54:50,Sim,511-54-0875,Plano B,Start company plant mind gas little.,2009-03-31,9259596116104198,Sim,Operadora3
Consulta Médica,Joshua Coleman,635-39-0134,F,1983-01-02,2020-04-05,Juan Norris,Casado(a),Cônjuge,Sim,3774230,500310343881838,9876543210987654,craigramirez@example.org,77264,160 Rachel Island,92539,Apt. 952,Moinhos de Vento,Port Claytonfurt,PA,4194.201630172411,8949460734,"Therapist, nutritional",9417634870,3152119688,2000-07-07,9,2064-05-11,9,CCusto3,Financeiro,Setor A,Tipo2,2011-05-03,2026-10-23,18:24:52,22:21:10,Não,663-92-5363,Plano B,Beat public remember thousand fact everything source.,2023-05-25,7765494777399273,Não,Operadora1
Consulta Médica,Nathaniel Aguilar,413-55-7519,F,1996-04-13,2020-04-01,Robert Coleman,Casado(a),Filho(a),Não,9180250,1621055535988341,9876543210987654,kelly65@example.net,86726,18867 Lopez Rapids Apt. 338,54427,Suite 622,Copacabana,North Jessicaburgh,CO,3415.936655020849,815120260,Fast food restaurant manager,(587)833-4175,001-627-576-5305,2019-03-31,1,2093-12-15,12,CCusto1,Vendas,Setor C,Tipo1,2023-06-20,2088-08-12,17:34:20,19:44:59,Sim,635-48-9793,Plano B,New step case.,2004-01-04,1918276976566456,Não,Operadora3
Exame Laboratorial,Kathleen Sandoval,632-91-0105,F,1925-02-24,2008-01-16,Michelle Thomas,Solteiro(a),Filho(a),Sim,7570892,5703348678761708,1234567890123456,murphycurtis@example.com,83372,1555 Galloway Centers Suite 818,82203,Apt. 447,Centro,Parkborough,NY,1594.780253888764,538551796,"Engineer, production",+1-587-478-1441x272,(371)322-5116,2012-09-09,6,2085-10-12,6,CCusto2,Financeiro,Setor B,Tipo3,2004-09-03,2042-04-07,03:54:40,06:48:15,Não,164-20-0763,Plano C,Peace city effort industry.,2022-06-05,2141011711136073,Não,Operadora2
Odontologia,Debra Washington,179-83-1787,M,2016-02-17,2008-05-22,James Hughes,Viúvo(a),Pai,Sim,6828828,1391333211209718,1234567890123456,joel13@example.org,45555,772 Dustin Glens Suite 801,42050,Apt. 013,Copacabana,Port Franktown,VT,4644.687233481818,3127495982,Radiation protection practitioner,+1-912-697-0584x049,(671)768-0327x1680,2020-10-12,10,2043-06-27,9,CCusto3,Financeiro,Setor A,Tipo3,2006-09-07,2045-09-02,21:20:43,03:42:19,Sim,533-47-6611,Plano A,Benefit institution production generation happy.,2018-08-21,8792002289850447,Sim,Operadora1
